a1,a1a1,a2,a2a2,a3,a3a3,a4a4,a5a5,a6a6,a7a7,a8a8,a9a9,b1b1,b2,b3,b4,b5,b5a1,b5b2,b5b5,cluster,X
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1029
6,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,12,0,5,7,2,103
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1030
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1032
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1033
0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1034
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1035
0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1037
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1038
0,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1039
10,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,16,0,0,0,3,104
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1040
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1041
0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1042
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1043
0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1044
0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1045
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1046
0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1047
0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1048
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,1049
9,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,8,0,0,7,2,105
0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1050
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1052
0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1053
0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1054
0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1055
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1057
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1058
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1059
6,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,12,0,0,7,2,106
0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,1060
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1062
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1063
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1064
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1065
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1066
0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1067
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1068
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1069
14,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,9,0,0,0,2,107
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1070
0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1071
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1073
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1075
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1076
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1077
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1078
0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1079
0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,28,0,0,0,4,108
0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1082
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1083
0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1084
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1085
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1086
0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1088
0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1089
10,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,12,0,0,8,2,109
0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1091
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1093
0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1094
0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1095
0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,9,1096
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1097
0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1099
9,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,9,0,0,5,2,11
14,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,10,0,0,13,2,110
0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1100
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1101
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1102
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1103
0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,1104
0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1105
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1106
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1107
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1108
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1109
12,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,8,0,0,15,2,111
0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1110
0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1111
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,13,1112
0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,7,1113
0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1115
0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,7,1116
0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1118
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1119
8,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,22,0,0,0,3,112
0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1121
0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1123
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1124
0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1125
0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1126
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,1127
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1128
0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1129
6,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,9,0,0,6,2,113
0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1131
0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1132
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1133
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1134
0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,1135
0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1136
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1137
0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1138
7,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,15,0,0,5,1,114
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1141
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1144
0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1145
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1146
0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1147
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1148
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1149
5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,20,0,0,0,3,115
0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1150
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1151
0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1153
0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1154
0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1155
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1156
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1157
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1159
6,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,31,0,0,0,10,116
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1161
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1162
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1163
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1164
0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1165
0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1166
0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1167
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1168
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1169
10,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,33,0,0,0,10,117
0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1170
0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1171
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,1172
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1174
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1175
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1177
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1178
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,1179
10,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,12,0,6,11,2,118
0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1180
0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1181
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1182
0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1183
0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1184
0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1185
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1187
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1188
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1189
11,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,13,0,0,9,1,119
0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1190
0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,8,1192
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1194
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1195
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1196
0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1198
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1199
7,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,18,0,0,0,3,12
0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,8,0,0,0,2,120
0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1200
0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1201
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1202
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1203
0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1205
0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1206
0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1208
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1209
6,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,11,0,0,0,2,121
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1211
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1212
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1213
0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,1214
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1216
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1217
0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1218
0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1219
10,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,6,0,0,13,2,122
0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1220
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,1221
0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,7,1222
0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1223
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1224
0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1225
0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1227
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1228
0,0,0,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1229
6,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,8,0,6,9,2,123
0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1230
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1231
0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1232
0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1233
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1234
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1236
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1237
0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1238
0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1239
9,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,13,0,6,7,2,124
0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1240
0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1241
0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1242
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1245
0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,1246
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1247
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1248
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1249
7,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,10,0,0,6,2,125
0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1250
0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1251
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1252
0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1253
0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1255
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1256
0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1257
0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,8,1258
0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1259
10,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,14,0,7,5,2,126
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1261
0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1263
0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1264
0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1265
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1266
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1267
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1269
6,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,23,0,6,11,10,127
0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1270
0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,11,1271
0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1272
0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1273
0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1274
0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,11,1275
0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1276
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1277
0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1278
0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1279
6,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,19,0,0,6,1,128
0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1280
0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1281
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1282
0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1284
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1285
0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1286
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1288
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1289
6,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,11,0,6,5,2,129
0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1290
0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1291
0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1292
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1293
0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1294
0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1295
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1296
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1297
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1298
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1299
9,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,13,0,0,11,2,13
6,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,19,0,0,5,1,130
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1300
0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,7,1301
0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1302
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1303
0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,1304
0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,1306
0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1307
0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1308
0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1309
5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,19,0,0,0,3,131
0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1310
0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1311
0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,1312
0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1313
0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1314
0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1315
0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1316
0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1317
