"","a1","a1a1","a2","a2a2","a3","a3a3","a4a4","a5a5","a6a6","a7a7","a8a8","a9a9","b1b1","b2","b3","b4","b5","b5a1","b5b2","b5b5","cluster"
"1103",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1104",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6
"1105",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1106",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1107",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1108",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1109",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"111",12,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,8,0,0,15,14
"1110",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1111",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1112",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6
"1113",0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,17
"1115",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1116",0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,17
"1118",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1119",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"112",8,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,22,0,0,0,2
"1121",0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"1123",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1124",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1125",0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"1126",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1127",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6
"1128",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1129",0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"113",6,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,11,0,0,6,1
"1131",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1132",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1133",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1134",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1135",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6
"1136",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1137",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1138",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"114",7,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,16,0,0,5,1
"1141",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1144",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1145",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1146",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1147",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1148",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1149",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"115",5,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,20,0,0,0,2
"1150",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1151",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1153",0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1154",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1155",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1156",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1157",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1159",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"116",6,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,31,0,0,0,2
"1161",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1162",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1163",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1164",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1165",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1166",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1167",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1168",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1169",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"117",10,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,34,0,0,0,2
"1170",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1171",0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"1172",0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,17
"1174",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1175",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1177",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1178",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1179",0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,10
"118",10,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,13,0,6,11,20
"1180",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"1181",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"1182",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1183",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1184",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1185",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"1187",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1188",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1189",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"119",11,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,14,0,0,9,1
"1190",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1192",0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6
"1194",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1195",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1196",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1198",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1199",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"12",7,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,18,0,0,0,2
"120",0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,9,0,0,0,3
"1200",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1201",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1202",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1203",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1205",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1206",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"1208",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1209",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"121",6,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,11,0,0,0,21
"1211",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1212",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1213",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1214",0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,6
"1216",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1217",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1218",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1219",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"122",10,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,7,0,0,13,14
"1220",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1221",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6
"1222",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,22
"1223",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1224",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1225",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1227",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"1228",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1229",0,5,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"123",6,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,8,0,6,9,20
"1230",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1231",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1232",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1233",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1234",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1236",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1237",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1238",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"1239",0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"124",9,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,15,0,6,7,12
"1240",0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1241",0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1242",0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,24
"1245",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1246",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,7
"1247",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1248",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1249",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"125",7,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,12,0,0,6,1
"1250",0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1251",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1252",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1253",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1255",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1256",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1257",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1258",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6
"1259",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"126",10,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,14,0,7,5,12
"1261",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1263",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"1264",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"1265",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1266",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1267",0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1269",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"127",6,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,23,0,6,11,12
"1270",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1271",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6
"1272",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1273",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1274",0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1275",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6
"1276",0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"1277",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1278",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1279",0,0,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"128",6,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,19,0,0,6,26
"1280",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1281",0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1282",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1284",0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"1285",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1286",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1288",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1289",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"129",6,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,12,0,6,5,12
"1290",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1291",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1292",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1293",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1294",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1295",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1296",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1297",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1298",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1299",0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"13",9,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,15,0,0,11,1
